_id,measure_id,measure_name,interval_type,value_type,measure_value,year_to_date_variance,budget_variance,decimal_accuracy,desired_direction,category,data_source_notes,city_perspective_note,year,period_number_in_year,target,note
6740,3.03,Crime Number of Sexual Assaults ,m,n,214.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2021,8,,
6741,3.03,Crime Number of Sexual Assaults ,m,n,251.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2021,9,,
6742,3.03,Crime Number of Sexual Assaults ,m,n,304.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2021,10,,
6743,3.03,Crime Number of Sexual Assaults ,m,n,277.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2021,11,,
6744,3.03,Crime Number of Sexual Assaults ,m,n,222.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2021,12,,
6745,3.04,Crime Number of Assaults ,m,n,1441.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2009,1,,
6746,3.04,Crime Number of Assaults ,m,n,1266.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2009,2,,
6747,3.04,Crime Number of Assaults ,m,n,1390.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2009,3,,
6748,3.04,Crime Number of Assaults ,m,n,1434.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2009,4,,
6749,3.04,Crime Number of Assaults ,m,n,1626.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2009,5,,
6750,3.04,Crime Number of Assaults ,m,n,1585.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2009,6,,
6751,3.04,Crime Number of Assaults ,m,n,1429.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2009,7,,
6752,3.04,Crime Number of Assaults ,m,n,1551.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2009,8,,
6753,3.04,Crime Number of Assaults ,m,n,1509.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2009,9,,
6754,3.04,Crime Number of Assaults ,m,n,1547.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2009,10,,
6755,3.04,Crime Number of Assaults ,m,n,1397.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2009,11,,
6756,3.04,Crime Number of Assaults ,m,n,1350.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2009,12,,
6757,3.04,Crime Number of Assaults ,m,n,1505.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2010,1,,
6758,3.04,Crime Number of Assaults ,m,n,1401.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2010,2,,
6759,3.04,Crime Number of Assaults ,m,n,1447.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2010,3,,
6760,3.04,Crime Number of Assaults ,m,n,1505.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2010,4,,
6761,3.04,Crime Number of Assaults ,m,n,1619.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2010,5,,
6762,3.04,Crime Number of Assaults ,m,n,1570.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2010,6,,
6763,3.04,Crime Number of Assaults ,m,n,1506.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2010,7,,
6764,3.04,Crime Number of Assaults ,m,n,1406.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2010,8,,
6765,3.04,Crime Number of Assaults ,m,n,1350.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2010,9,,
6766,3.04,Crime Number of Assaults ,m,n,1510.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2010,10,,
6767,3.04,Crime Number of Assaults ,m,n,1325.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2010,11,,
6768,3.04,Crime Number of Assaults ,m,n,1158.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2010,12,,
6769,3.04,Crime Number of Assaults ,m,n,1340.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2011,1,,
6770,3.04,Crime Number of Assaults ,m,n,1260.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2011,2,,
6771,3.04,Crime Number of Assaults ,m,n,1424.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2011,3,,
6772,3.04,Crime Number of Assaults ,m,n,1390.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2011,4,,
6773,3.04,Crime Number of Assaults ,m,n,1550.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2011,5,,
6774,3.04,Crime Number of Assaults ,m,n,1515.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2011,6,,
6775,3.04,Crime Number of Assaults ,m,n,1614.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2011,7,,
6776,3.04,Crime Number of Assaults ,m,n,1453.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2011,8,,
6777,3.04,Crime Number of Assaults ,m,n,1508.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2011,9,,
6778,3.04,Crime Number of Assaults ,m,n,1424.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2011,10,,
6779,3.04,Crime Number of Assaults ,m,n,1355.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2011,11,,
6780,3.04,Crime Number of Assaults ,m,n,1351.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2011,12,,
6781,3.04,Crime Number of Assaults ,m,n,1456.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2012,1,,
6782,3.04,Crime Number of Assaults ,m,n,1357.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2012,2,,
6783,3.04,Crime Number of Assaults ,m,n,1450.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2012,3,,
6784,3.04,Crime Number of Assaults ,m,n,1310.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2012,4,,
6785,3.04,Crime Number of Assaults ,m,n,1563.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2012,5,,
6786,3.04,Crime Number of Assaults ,m,n,1511.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2012,6,,
6787,3.04,Crime Number of Assaults ,m,n,1493.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2012,7,,
6788,3.04,Crime Number of Assaults ,m,n,1472.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2012,8,,
6789,3.04,Crime Number of Assaults ,m,n,1341.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2012,9,,
6790,3.04,Crime Number of Assaults ,m,n,1345.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2012,10,,
6791,3.04,Crime Number of Assaults ,m,n,1349.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2012,11,,
6792,3.04,Crime Number of Assaults ,m,n,1210.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2012,12,,
6793,3.04,Crime Number of Assaults ,m,n,1324.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2013,1,,
6794,3.04,Crime Number of Assaults ,m,n,1175.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2013,2,,
6795,3.04,Crime Number of Assaults ,m,n,1290.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2013,3,,
6796,3.04,Crime Number of Assaults ,m,n,1294.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2013,4,,
6797,3.04,Crime Number of Assaults ,m,n,1463.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2013,5,,
6798,3.04,Crime Number of Assaults ,m,n,1510.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2013,6,,
6799,3.04,Crime Number of Assaults ,m,n,1382.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2013,7,,
6800,3.04,Crime Number of Assaults ,m,n,1346.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2013,8,,
6801,3.04,Crime Number of Assaults ,m,n,1290.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2013,9,,
6802,3.04,Crime Number of Assaults ,m,n,1387.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2013,10,,
6803,3.04,Crime Number of Assaults ,m,n,1372.0,0.01,,,Down,Crime,"Source: Toronto Police Services, http://data.torontopolice.on.ca/pages/major-crime-indicators",,2013,11,,
